Consent,Pre_Perc_1,Pre_Cert,C1,Post_Perc_1,Post_Cert,Check,Check_4_TEXT,See,Pet_Agree,Pet_Conv,Pie_Agree,Pie_Conv,Age,Gender,Party,Educ,Occ,Live,ConditionOne,ConditionTwo,ConditionThree,ConditionFour,ConditionFive
1,97,7,8,97,7,4,I am paying attention.,5, , , , ,3,1,1,2,2,1,1, , , , 
1,78,2, ,73,2,4,I am paying attention,2,5,4, , ,2,2,1,1,2,1, , ,1, , 
1,80,5, ,97,7,4,I am paying attention.,1, , ,7,7,2,1,2,1,2,1, ,1, , , 
1,95,6, ,97,7,4,I am paying attention.,1, , ,7,7,3,2,1,2,2,1, ,1, , , 
1,94,6,8,94,6,4,I am paying attention,5, , , , ,2,1,2,2,2,1,1, , , , 
1,97,7,8,97,7,4,I am paying attention.,5, , , , ,2,2,1,2,2,1,1, , , , 
1,30,4, ,30,4,4,I am paying attention.,2,2,2, , ,2,1,4,1,2,1, , ,1, , 
1,99,7, ,97,7,4,I am paying attention.,4,7,7,7,7,2,2,1,2,2,1, , , ,1, 
1,90,7, ,97,7,4,I am paying attention.,1, , ,7,7,3,2,1,2,2,1, ,1, , , 
1,95,6, ,97,7,4,I am paying attention,5, , , , ,2,2,1,2,2,1, , , , ,1
1,90,7, ,93,5,4,I am paying attention,4,2,4,7,6,2,1,1,3,2,1, , , ,1, 
1,73,4, ,97,6,4,I am paying attention,4,6,6,6,6,2,2,3,2,2,1, , , , ,1
1,99,7, ,99,6,4,I am paying attention.,1, , ,7,7,2,2,1,4,2,1, ,1, , , 
1,97,5, ,97,5,4,I am paying attention.,4,4,1,6,6,2,1,3,4,2,1, , , , ,1
1,98,7, ,97,7,4,I am paying attention.,2,7,6, , ,2,1,1,2,2,1, , , , ,1
1,85,5, ,84,5,4,I am paying attention.,1, , ,7,7,2,2,1,2,2,1, ,1, , , 
1,71,3,8,72,3,4,I am paying attention,5, , , , ,2,2,3,2,2,1,1, , , , 
1,40,2,8,40,2,4,I am paying attention.,5, , , , ,1,1,2,2,2,1,1, , , , 
1,98,6, ,97,7,4,I am paying attention.,4,1,1,7,6,2,1,1,2,2,1, , , ,1, 
1,97,7, ,97,7,4,I am paying attention.,4,7,7,7,7,2,1,1,2,2,1, , , ,1, 
1,72,3, ,75,3,4,I am paying attention.,2,7,4, , ,2,1,3,1,2,1, , ,1, , 
1,25,5, ,76,5,4,I am paying attention.,4,5,5,5,6,1,2,2,1,2,1, , , ,1, 
1,95,7, ,97,7,4,I am paying attention.,4,4,5,7,7,2,1,1,2,2,1, , , , ,1
1,96,5,8,90,6,4,I am paying attention.,5, , , , ,2,1,1,2,2,1,1, , , , 
1,100,7, ,100,7,4,I am paying attention,2,7,6, , ,4,2,3,2,2,1, , ,1, , 
1,71,6, ,90,5,4,I am paying attention.,1, , ,5,5,2,1,3,1,2,1, ,1, , , 
1,94,7, ,95,7,4,I am paying attention,4,7,7, ,7,2,1,1,1,2,1, , , ,1, 
1,90,6,8,90,6,4,I am paying attention.,5, , , , ,2,2,3,2,2,1,1, , , , 
1,72,1, ,85,1,4,I am paying attention,2,4,5, , ,2,2,1,2,2,1, , ,1, , 
1,34,5, ,97,5,4,I am paying attention.,1, , ,5,6,2,1,2,1,2,1, , , , ,1
1,50,6, ,97,4,4,I am paying attention.,1, , ,1,4,2,1,1,2,2,1, ,1, , , 
1,62,5, ,63,5,4,I am paying attention,2,5,5, , ,2,2,3,2,2,1, , ,1, , 
1,87,3, ,87,3,4,I am paying attention,2,3,2, , ,2,2,3,3,2,1, , ,1, , 
1,51,5, ,97,5,4,I am paying attention,1, , ,1,3,2,2,2,1,2,1, ,1, , , 
1,80,5, ,97,7,4,I am paying attention.,4,2,2,5,5,2,1,3,2,2,1, , , ,1, 
1,97,7, ,97,7,4,I am paying attention,2,5,5, , ,1,1,1,2,2,1, , , ,1, 
1,98,7,8,96,7,4,I am paying attention.,5, , , , ,2,1,1,2,2,1,1, , , , 
1,73,2, ,87,5,4,I am paying attention.,4,6,6,5,5,2,2,3,3,2,1, , , ,1, 
1,98,7, ,97,7,4,I am paying attention.,4,7,6,7,7,3,1,1,3,2,1, , , ,1, 
1,97,7, ,97,7,4,I am paying attention,4,6,6,7,7,2,1,2,2,2,1, , , ,1, 
1,93,7, ,97,7,4,I am paying attention,1, , ,7,7,3,1,2,1,2,1, ,1, , , 
1,96,6, ,97,6,4,I am paying attention.,1, , ,7,4,3,1,1,4,2,1, ,1, , , 
1,99,6,8,99,5,4,I am paying attention.,5, , , , ,2,1,2,1,2,1,1, , , , 
1,80,3, ,97,7,4,I am paying attention,1, , ,6,4,2,1,1,1,2,1, ,1, , , 
1,40,1, ,28,1,4,I am paying attention,2,3,3, , ,3,2,2,1,2,1, , ,1, , 
1,100,7,8,100,7,4,I am paying attention.,5, , , , ,2,2,3,2,2,1,1, , , , 
1,50,5, ,50,5,4,I am paying attention.,2,6,5, , ,2,1,1,3,2,1, , ,1, , 
1,55,4, ,52,3,4,I am paying attention.,3, , , , ,2,1,1,2,2,1, ,1, , , 
1,91,6, ,97,7,4,I am paying attention.,2,4,4, , ,2,2,2,2,2,1, , , , ,1
1,72,5, ,97,7,4,I am paying attention.,4,4,7,4,7,2,1,2,2,2,1, , , , ,1
1,91,6, ,97,7,4,I am paying attention.,1, , ,6,5,2,2,2,2,2,1, ,1, , , 
1,94,6, ,97,7,4,I am paying attention.,4,1,1,7,7,3,1,3,2,2,1, , , , ,1
1,81,3, ,83,3,4,I am paying attention.,2,5,5, , ,3,2,2,1,2,1, , ,1, , 
1,70,1, ,90,1,4,I am paying attention.,1, , ,1,2,2,2,3,1,2,1, ,1, , , 
1,62,5, ,65,5,4,I am paying attention.,4,6,6,6,5,2,2,2,2,2,1, , , ,1, 
1,41,2, ,94,6,4,I am paying attention,1, , ,4,3,2,2,2,2,2,1, ,1, , , 
1,92,4,8,92,4,4,I am paying attention.,5, , , , ,2,2,3,2,2,1,1, , , , 
1,65,1,8,65,1,4,I am paying attention,5, , , , ,4,1,2,3,2,1,1, , , , 
1,90,7,8,94,6,4,I am paying attention,5, , , , ,2,2,3,2,2,1,1, , , , 
1,96,6, ,94,7,4,I am paying attention.,2,1,3, , ,3,1,1,2,2,1, , , ,1, 
1,98,5, ,97,6,4,I am paying attention,4,4,2,7,6,2,1,3,1,2,1, , , , ,1
1,95,6, ,70,4,4,I am paying attention.,2,6,4, , ,2,1,3,1,2,1, , ,1, , 
1,97,5, ,97,7,4,I am paying attention.,1, , ,7,7,1,1,3,1,2,1, ,1, , , 
1,98,3, ,80,1,4,I am paying attention.,2,7,7, , ,2,2,1,1,2,1, , ,1, , 
1,98,6, ,97,7,4,I am paying attention,2,2,3, , ,3,1,1,2,2,1, , , , ,1
1,85,5, ,95,6,4,I am paying attention.,1, , ,4,5,1,1,3,2,2,1, ,1, , , 
1,95,6, ,97,7,4,I am paying attention.,4,1,1,7,7,2,1,2,3,2,1, , , ,1, 
1,60,3, ,39,3,4,I am paying attention.,2,4,3, , ,2,2,2,2,2,1, , ,1, , 
1,65,2, ,97,6,4,I am paying attention.,4,2,3,6,5,2,2,1,1,2,1, , , , ,1
1,95,6,8,95,6,4,I am paying attention.,5, , , , ,2,1,1,1,2,1,1, , , , 
1,95,6, ,97,7,4,I am paying attention.,4,2,1,6,6,3,1,3,2,2,1, , , , ,1
1,70,5, ,97,7,4,I am paying attention,1, , ,6,7,2,2,1,1,2,1, ,1, , , 
1,40,6, ,95,4,4,I am paying attention,4,1,1,1,1,2,2,3,2,2,1, , , , ,1
1,60,3, ,30,3,4,I am paying attention,2,6,7, , ,4,2,2,1,1,1, , ,1, , 
1,83,6,8,90,7,4,I am paying attention,5, , , , ,2,1,1,1,2,1,1, , , , 
1,70,5, ,35,5,4,I am paying attention.,2,2,2, , ,1,1,3,1,2,1, , ,1, , 
1,61,3,8,40,3,4,"""I am paying attention""",5, , , , ,4,2,1,1,2,1,1, , , , 
1,71,5, ,95,6,4,I am paying attention,1, , ,7,7,2,2,3,2,2,1, ,1, , , 
1,97,7, ,97,7,4,I am paying attention.,4,1,1,7,7,4,1,1,4,2,1, , , ,1, 
1,50,1, ,30,1,4,I am paying attention.,2,4,1, , ,2,2,2,1,2,1, , ,1, , 
1,95,3, ,96,3,4,I am paying attention.,2,1,2, , ,2,1,1,2,2,1, , ,1, , 
1,80,6, ,97,5,4,I am paying attention.,1, , ,6,5,2,1,3,1,2,1, ,1, , , 
1,93,6, ,60,3,4,I am paying attention.,2,1,3, , ,2,2,1,2,2,1, , ,1, , 
1,100,7, ,97,7,4,I am paying attention.,1, , ,4,6,2,1,3,2,2,1, ,1, , , 
1,95,6, ,97,7,4,I am paying attention.,4,6,7,6,7,2,1,2,1,2,1, , , ,1, 
1,99,7, ,97,7,4,I am paying attention,4,1,1,7,7,2,1,1,1,2,1, , , ,1, 
1,96,5, ,90,4,4,I am paying attention.,4,2,2,7,6,2,1,1,2,2,1, , , ,1, 
1,99,5, ,97,7,4,I am paying attention.,4,1,1,6,7,2,1,1,1,2,1, , , , ,1
1,85,6, ,96,6,4,I am paying attention,2,6,6, , ,2,1,1,2,2,1, , ,1, , 
1,97,6,8,97,6,4,I am paying attention.,5, , , , ,2,2,1,2,2,1,1, , , , 
1,98,6,8,98,6,4,I am paying attention.,5, , , , ,2,1,1,2,2,1,1, , , , 
1,40,5, ,97,6,4,I am paying attention,4,2,2,1,1,3,2,3,3,2,1, , , ,1, 
1,40,5, ,97,7,4,I am paying attention,4,4,6,4,5,2,1,3,1,2,1, , , ,1, 
1,75,7, ,97,7,4,I am paying attention.,4,7,7,7,7,2,1,2,2,2,1, , , , ,1
1,85,2, ,97,4,4,I am paying attention,1, , ,4,4,3,1,3,1,2,1, ,1, , , 
1,91,7,8,91,7,4,I am paying attention.,5, , , , ,3,1,2,1,2,1,1, , , , 
1,60,5, ,98,7,4,I am paying attention.,1, , ,6,6,2,1,1,1,2,1, , , , ,1
1,98,7, ,97,7,4,I am paying attention.,4,7,7,7,7,2,3,3,2,2,1, , , ,1, 
1,88,6, ,97,6,4,I am paying attention,1, , ,6,4,3,1,3,3,2,1, ,1, , , 
1,95,6, ,95,6,4,I am paying attention,2,2,3, , ,2,1,3,2,2,1, , ,1, , 
1,94,4,8,92,4,4,I am paying attention,5, , , , ,2,1,1,2,2,1,1, , , , 
1,95,7, ,97,7,4,I am paying attention,4,5,5,7,6,2,1,3,2,2,1, , , , ,1
1,70,5, ,97,6,4,I am paying attention.,4,2,2,6,6,2,1,3,2,2,1, , , , ,1
1,99,5, ,97,7,4,I am paying attention.,4,3,2,6,5,3,2,4,2,2,1, , , ,1, 
1,82,1, ,97,7,4,I am paying attention.,4,6,4,6,4,4,2,3,4,2,1, , , , ,1
1,83,6, ,88,6,4,I am paying attention,2,6,6, , ,2,1,3,2,2,1, , ,1, , 
1,58,4,8,57,4,4,I am paying attention.,5, , , , ,2,2,2,1,2,1,1, , , , 
1,75,1, ,97,7,4,I am paying attention.,4,2,5,6,6,2,1,1,5,2,1, , , , ,1
1,64,2, ,72,3,4,I am paying attention.,2,6,6, , ,1,2,2,1,2,1, , ,1, , 
1,86,2, ,97,7,4,I am paying attention.,4,1,1,6,6,2,2,3,1,2,1, , , , ,1
1,91,5, ,97,6,4,I am paying attention,1, , ,6,5,1,1,3,2,2,1, ,1, , , 
1,71,5, ,97,7,4,I am paying attention,4,6,6,6,7,2,1,1,1,2,1, , , , ,1
1,60,5, ,66,5,4,I am paying attention,2,2,2, , ,2,1,3,2,2,1, , ,1, , 
1,55,2, ,97,7,4,I am paying attention,4,2,2,1,2,2,2,2,4,2,1, , , , ,1
1,80,6,8,89,5,4,I am paying attention,5, , , , ,2,1,3,2,2,1,1, , , , 
1,51,4, ,66,4,4,I am paying attention,1, , ,5,4,3,2,4,1,2,1, ,1, , , 
1,83,6, ,97,6,4,I am paying attention,4,2,3,6,4,2,1,2,3,2,1, , , ,1, 
1,95,6, ,97,7,4,I am paying attention,4,6,6,7,7,2,1,3,2,2,1, , , ,1, 
1,93,6, ,97,7,4,I am paying attention,4,1,4,7,6,2,1,1,1,2,1, , , ,1, 
1,97,7,8,97,7,4,I am paying attention.,5, , , , ,2,1,1,2,2,1,1, , , , 
1,82,6,8,84,6,4,I am paying attention.,5, , , , ,2,2,1,2,2,1,1, , , , 
1,95,6, ,95,5,4,I am paying attention.,2,2,1, , ,2,1,2,1,2,1, , ,1, , 
1,89,1, ,62,1,4,I am paying attention,2,3,2, , ,2,2,1,2,2,1, , ,1, , 
1,96,7,8,96,7,4,I am paying attention,5, , , , ,4,1,1,2,2,1,1, , , , 
1,99,7, ,99,7,4,I am paying attention.,2,1,1, , ,2,1,1,3,2,1, , ,1, , 
1,35,5, ,97,6,4,I am paying attention.,1, , ,6,6,3,2,1,5,2,1, ,1, , , 
1,99,6, ,97,6,4,I am paying attention,4,7,7,7,7,3,2,1,1,2,1, , , ,1, 
1,95,6,8,95,6,4,I am paying attention.,5, , , , ,2,1,1,2,2,1,1, , , , 
1,95,6, ,97,7,4,I am paying attention.,1, , ,2,2,2,2,2,2,2,1, ,1, , , 
1,97,1, ,97,1,4,I am paying attention.,2,1,1, , ,2,1,1,1,2,1, , ,1, , 
1,93,6, ,97,7,4,I am paying attention.,4,2,1,7,6,3,2,1,2,2,1, , , , ,1
1,20,6, ,97,7,4,I am paying attention,1, , ,2,2,4,2,2,2,2,1, ,1, , , 
1,100,7, ,97,7,4,I am paying attention.,4,7,7,7,7,1,1,3,2,2,1, , , , ,1
1,85,3, ,97,5,4,I am paying attention,4,2,2,5,4,3,2,1,2,2,1, , , ,1, 
1,100,6,8,100,6,4,I am paying attention.,5, , , , ,2,1,1,3,2,1,1, , , , 
1,99,6, ,99,6,4,I am paying attention.,2,1,3, , ,2,1,1,1,2,1, , ,1, , 
1,66,5, ,77,6,4,I am paying attention,4,6,4,3,3,2,2,2,2,2,1, , , ,1, 
1,71,5, ,71,5,4,I am paying attention,2,5,6, , ,1,2,3,1,2,1, ,1, , , 
1,97,7, ,97,7,4,I am paying attention,4,7,7,7,3,2,1,3,1,2,1, , , ,1, 
1,85,7,8,80,5,4,I am paying attention.,5, , , , ,3,1,4,2,2,1,1, , , , 
1,100,7, ,97,7,4,I am paying attention.,4,1,4,7,7,2,1,1,2,2,1, , , , ,1
1,89,7, ,97,7,4,I am paying attention,1, , ,6,5,1,1,2,2,2,1, ,1, , , 
1,25,5, ,30,4,4,I am paying attention,2,4,5, , ,2,1,2,3,2,1, , ,1, , 
1,40,3, ,40,4,4,I am paying attention,2,4,2, , ,2,1,1,1,2,1, , ,1, , 
1,99,6,8,99,6,4,"""I am paying attention.",5, , , , ,2,1,1,1,2,1,1, , , , 
1,75,4,8,76,4,4,I am paying attention,5, , , , ,3,2,2,1,2,1,1, , , , 
1,54,4, ,56,4,4,I am paying attention,2,6,5, , ,2,1,4,2,2,1, , ,1, , 
1,84,7, ,95,7,4,I am paying attention,2,6,7, , ,3,1,3,2,2,1, , , ,1, 
1,75,4, ,97,6,4,I am paying attention,1, , ,5,5,3,2,2,2,2,1, ,1, , , 
1,94,5, ,97,7,4,I am paying attention.,4,5,4,6,5,4,1,1,3,2,1, , , , ,1
1,90,5, ,97,7,4,I am paying attention.,4,4,4,7,6,2,2,1,2,2,1, , , , ,1
1,97,4, ,97,4,4,I am paying attention.,1, , ,6,4,2,1,1,2,2,1, ,1, , , 
1,96,5, ,97,6,4,I am paying attention.,1, , ,6,5,2,1,3,2,2,1, ,1, , , 
1,95,5, ,97,6,4,I am paying attention.,4,3,4,6,4,2,1,3,3,2,1, , , , ,1
1,60,1, ,97,7,4,I am paying attention,1, , ,1,1,2,2,2,1,2,1, , , , ,1
1,97,6, ,97,6,4,I am paying attention,1, , ,6,5,2,1,3,1,2,1, , , , ,1
1,84,5,8,87,6,4,I am paying attention.,3, , , , ,1,2,2,2,2,1,1, , , , 
1,67,4, ,97,7,4,I am paying attention.,4,4,4,4,5,2,2,2,3,2,1, , , , ,1
1,82,5, ,97,7,4,I am paying attention.,4,6,7,6,6,3,2,2,2,2,1, , , ,1, 
1,92,5, ,82,4,4,I am paying attention,2,4,3, , ,2,2,3,2,2,1, , ,1, , 
1,96,7, ,97,7,4,I am paying attention.,4,1,1,7,6,3,1,1,2,2,1, , , ,1, 
1,85,7, ,82,7,4,I am paying attention,1, , ,5,7,1,2,1,3,2,1, , ,1, , 
1,80,5, ,96,5,4,I am paying attention,4,6,6,6,5,2,2,1,2,2,1, , , , ,1
1,73,5, ,97,7,4,I am paying attention.,1, , ,3,3,3,2,1,2,2,1, ,1, , , 
1,84,2, ,94,5,4,I am paying attention.,4,5,5,4,5,3,2,2,2,2,1, , , ,1, 
1,53,5, ,8,5,4,I am paying attention,2,1,1, , ,2,1,2,1,2,1, , ,1, , 
1,90,5,8,90,5,4,I am paying attention,5, , , , ,2,1,1,1,2,1,1, , , , 
1,91,6, ,97,7,4,I am paying attention.,1, , ,7,7,2,1,1,2,2,1, ,1, , , 
1,97,7, ,97,7,4,I am paying attention,2,6,7, , ,2,1,1,2,2,1, , , , ,1
1,80,2, ,80,2,4,I am paying attention.,2,4,5, , ,2,1,3,1,2,1, , ,1, , 
1,98,6,8,98,6,4,I am paying attention.,5, , , , ,2,1,4,2,2,1,1, , , , 
1,84,5,8,85,5,4,I am paying attention.,5, , , , ,2,1,3,3,2,1,1, , , , 
1,97,7, ,97,7,4,I am paying attention,2,1,2, , ,2,1,1,2,2,1, , ,1, , 
1,80,5, ,97,6,4,I am paying attention,1, , ,5,7,2,1,1,2,2,1, ,1, , , 
1,9,1, ,97,1,4,I am paying attention.,4,1,1,1,1,3,2,3,2,2,1, , , ,1, 
1,83,6, ,83,6,4,I am paying attention.,1, , ,7,6,2,1,3,2,2,1, , , ,1, 
1,97,6, ,97,7,4,I am paying attention.,4,2,1,7,5,1,2,3,2,2,1, , , , ,1
1,97,7, ,97,6,4,I am paying attention,1, , ,7,7,4,2,1,2,2,1, ,1, , , 
1,65,6,8,65,6,4,I am paying attention.,5, , , , ,2,2,3,2,2,1,1, , , , 
1,78,6,8,86,6,4,I am paying attention.,5, , , , ,3,1,2,3,2,1,1, , , , 
1,98,5, ,97,7,4,I am paying attention,4,6,6,7,7,2,1,3,2,2,1, , , ,1, 
1,99,7, ,99,7,4,I am paying attention.,2,1,1, , ,2,1,3,4,2,1, , ,1, , 
1,95,6, ,97,7,4,I am paying attention,4,4,3,7,7,2,1,1,4,2,1, , , , ,1
1,89,4, ,87,4,4,I am paying attention,2,4,1, , ,2,1,3,2,2,1, , ,1, , 
1,92,3, ,97,4,4,I am paying attention,1, , ,6,7,2,1,2,4,2,1, ,1, , , 
1,70,5, ,97,6,4,I am paying attention,1, , ,6,5,2,2,3,2,2,1, ,1, , , 
1,81,5, ,97,7,4,I am paying attention.,4,7,7,7,7,1,2,3,1,2,1, , , ,1, 
1,51,2,8,51,2,4,I am paying attention.,5, , , , ,2,2,2,2,2,1,1, , , , 
1,95,5, ,97,6,4,I am paying attention,1, , ,7,7,2,2,1,1,2,1, , , , ,1
1,99,7, ,97,7,4,I am paying attention.,1, , ,7,6,2,1,1,2,2,1, ,1, , , 
1,61,3, ,85,4,4,I am paying attention.,4,4,4,5,4,2,2,1,2,2,1, , , ,1, 
1,58,5, ,66,5,4,I am paying attention,2,4,3, , ,2,2,1,2,2,1, , ,1, , 
1,70,3,8,70,3,4,I am paying attention.,5, , , , ,3,1,3,3,2,1,1, , , , 
1,97,7, ,97,7,4,I am paying attention.,1, , ,7,7,2,2,1,2,2,1, ,1, , , 
1,99,7,8,99,7,4,I am paying attention.,5, , , , ,2,2,1,2,2,1,1, , , , 
1,38,4, ,97,4,4,I am paying attention.,4,5,5,3,4,2,1,3,2,2,1, , , , ,1
1,74,5, ,97,3,4,I am paying attention,4,4,4,4,4,2,1,1,3,2,1, , , , ,1
1,99,7,8,99,7,4,I am paying attention.,5, , , , ,2,1,1,2,2,1,1, , , , 
1,97,7, ,97,7,4,I am paying attention,2,7,7, , ,4,1,1,1,2,1, , , ,1, 
1,60,3, ,97,3,4,I am paying attention.,1, , ,3,1,2,2,1,1,2,1, ,1, , , 
1,92,2, ,89,1,4,I am paying attention.,2,1,3, , ,2,2,1,2,2,1, , ,1, , 
